    -0.642,    -1.642,     0.386
    -0.342,    -1.202,     0.466
    -0.042,    -0.762,     0.546
    -0.022,    -0.262,     0.606
    -0.002,     0.238,     0.666
    -0.682,    -2.342,     0.626
    -0.382,    -1.902,     0.706
    -0.362,    -1.402,     0.766
    -0.062,    -0.962,     0.846
    -0.042,    -0.462,     0.906
    -0.022,     0.038,     0.966
    -1.322,    -1.582,     0.826
    -1.022,    -1.142,     0.906
    -0.722,    -0.702,     0.986
    -0.422,    -0.262,     1.066
    -0.122,     0.178,     1.146
    -0.802,    -2.402,     1.106
    -0.502,    -1.962,     1.186
    -0.482,    -1.462,     1.246
    -0.182,    -1.022,     1.326
    -0.162,    -0.522,     1.386
    -0.142,    -0.022,     1.446
    -0.482,    -0.802,     1.386
    -0.182,    -0.362,     1.466
     0.118,     0.078,     1.546
    -1.422,    -1.142,     1.386
    -1.122,    -0.702,     1.466
    -0.822,    -0.262,     1.546
     0.018,    -0.642,     1.686
    -0.082,    -0.182,     1.726
    -0.542,     0.018,     1.706
     0.178,    -1.042,     1.786
     0.078,    -0.582,     1.826
    -0.582,    -0.362,     1.806
    -0.282,     0.078,     1.886
    -0.082,    -1.522,     1.886
    -0.062,    -1.022,     1.946
    -0.042,    -0.522,     2.006
    -0.202,    -0.122,     2.026

